Date,Year,Month,Rain,Max_T.,Min_T.,Cloud,Releted Hum.,Sea Level P.,Wind
1988-01-01,1988,1,0.0,26.7,12.9,0.0,77.0,1016.9,0.0
1989-01-01,1989,1,0.0,26.4,14.7,1.0,78.0,1016.7,5.0
1990-01-01,1990,1,0.0,23.5,11.4,0.0,68.0,1015.1,4.4
1991-01-01,1991,1,0.0,25.6,15.2,3.0,75.0,1011.9,2.0
1992-01-01,1992,1,0.0,20.5,12.8,4.0,75.0,1019.0,2.0
1993-01-01,1993,1,0.0,25.0,11.5,0.0,79.0,1018.0,2.0
1994-01-01,1994,1,0.0,26.5,13.4,0.0,74.0,1016.2,3.0
1995-01-01,1995,1,0.0,25.7,13.1,1.0,62.0,1015.7,2.0
1996-01-01,1996,1,0.0,27.0,15.2,4.0,76.0,1017.7,2.0
1997-01-01,1997,1,0.0,26.8,12.0,2.0,72.0,1016.8,1.0
1998-01-01,1998,1,0.0,24.8,15.6,0.0,69.0,1017.0,2.3
1999-01-01,1999,1,0.0,26.0,11.3,0.0,74.0,1015.7,2.0
2000-01-01,2000,1,0.0,25.0,13.3,0.0,73.0,1014.9,1.5
2001-01-01,2001,1,0.0,27.0,14.7,2.0,65.0,1012.5,1.0
2002-01-01,2002,1,0.0,25.3,15.0,2.0,56.0,1018.4,3.2
2003-01-01,2003,1,0.0,23.0,12.1,4.0,74.0,1015.1,1.7
2004-01-01,2004,1,0.0,17.0,13.0,6.0,93.0,1016.6,3.0
2005-01-01,2005,1,0.0,26.4,12.5,0.0,70.0,1015.4,4.0
2006-01-01,2006,1,0.0,27.0,14.5,0.0,65.0,1016.4,0.0
2007-01-01,2007,1,0.0,25.0,11.3,0.0,66.0,1014.8,3.0
2008-01-01,2008,1,0.0,25.6,15.2,0.0,65.0,1014.3,2.6
2009-01-01,2009,1,0.0,25.6,12.4,0.0,65.0,1014.1,5.0
2010-01-01,2010,1,0.0,23.0,13.8,0.0,78.0,1015.1,4.4
2011-01-01,2011,1,0.0,26.6,15.3,2.0,71.0,1008.8,3.0
2012-01-01,2012,1,0.0,28.5,18.0,5.0,53.0,1013.3,2.0
2013-01-01,2013,1,0.0,24.6,11.0,0.0,69.0,1012.3,0.0
2014-01-01,2014,1,0.0,25.7,11.2,0.0,63.0,1016.0,2.0
2015-01-01,2015,1,0.0,25.9,17.5,7.0,71.0,1015.0,0.0
2016-01-01,2016,1,0.0,27.6,14.8,0.0,73.0,1018.7,2.0
2017-01-01,2017,1,0.0,26.8,15.6,0.0,78.0,1014.9,0.0
1988-01-02,1988,1,0.0,26.0,12.9,2.0,76.0,1016.4,0.0
1989-01-02,1989,1,0.0,27.8,14.6,1.0,73.0,1015.0,3.5
1990-01-02,1990,1,0.0,23.4,11.4,0.0,75.0,1015.7,3.2
1991-01-02,1991,1,0.0,23.3,16.6,7.0,82.0,1011.5,4.7
1992-01-02,1992,1,1.0,21.2,12.0,0.0,66.0,1020.1,5.2
1993-01-02,1993,1,0.0,22.2,13.2,0.0,89.0,1017.1,2.0
1994-01-02,1994,1,0.0,26.8,11.9,1.0,73.0,1015.7,2.7
1995-01-02,1995,1,0.0,24.3,8.5,0.0,62.0,1015.4,1.5
1996-01-02,1996,1,0.0,27.6,16.0,2.0,76.0,1018.4,2.0
1997-01-02,1997,1,0.0,26.0,14.0,5.0,72.0,1015.3,0.0
1998-01-02,1998,1,0.0,23.4,12.2,1.0,72.0,1017.3,4.5
1999-01-02,1999,1,0.0,27.2,14.7,0.0,75.0,1014.2,2.0
2000-01-02,2000,1,0.0,26.2,14.0,0.0,69.0,1014.0,1.0
