Year,Month,Day,Rain,Max_T.,Min_T.,Cloud,Releted Hum.,Sea Level P.,Wind
1988,1,1,0.0,26.7,12.9,0,77.0,1016.9,0.0
1989,1,1,0.0,26.4,14.7,1,78.0,1016.7,5.0
1990,1,1,0.0,23.5,11.4,0,68.0,1015.1,4.4
1991,1,1,0.0,25.6,15.2,3,75.0,1011.9,2.0
1992,1,1,0.0,20.5,12.8,4,75.0,1019.0,2.0
1993,1,1,0.0,25.0,11.5,0,79.0,1018.0,2.0
1994,1,1,0.0,26.5,13.4,0,74.0,1016.2,3.0
1995,1,1,0.0,25.7,13.1,1,62.0,1015.7,2.0
1996,1,1,0.0,27.0,15.2,4,76.0,1017.7,2.0
1997,1,1,0.0,26.8,12.0,2,72.0,1016.8,1.0
1998,1,1,0.0,24.8,15.6,0,69.0,1017.0,2.3
1999,1,1,0.0,26.0,11.3,0,74.0,1015.7,2.0
2000,1,1,0.0,25.0,13.3,0,73.0,1014.9,1.5
2001,1,1,0.0,27.0,14.7,2,65.0,1012.5,1.0
2002,1,1,0.0,25.3,15.0,2,56.0,1018.4,3.2
2003,1,1,0.0,23.0,12.1,4,74.0,1015.1,1.7
2004,1,1,0.0,17.0,13.0,6,93.0,1016.6,3.0
2005,1,1,0.0,26.4,12.5,0,70.0,1015.4,4.0
2006,1,1,0.0,27.0,14.5,0,65.0,1016.4,0.0
2007,1,1,0.0,25.0,11.3,0,66.0,1014.8,3.0
2008,1,1,0.0,25.6,15.2,0,65.0,1014.3,2.6
2009,1,1,0.0,25.6,12.4,0,65.0,1014.1,5.0
2010,1,1,0.0,23.0,13.8,0,78.0,1015.1,4.4
2011,1,1,0.0,26.6,15.3,2,71.0,1008.8,3.0
2012,1,1,0.0,28.5,18.0,5,53.0,1013.3,2.0
2013,1,1,0.0,24.6,11.0,0,69.0,1012.3,0.0
2014,1,1,0.0,25.7,11.2,0,63.0,1016.0,2.0
2015,1,1,0.0,25.9,17.5,7,71.0,1015.0,0.0
2016,1,1,0.0,27.6,14.8,0,73.0,1018.7,2.0
2017,1,1,0.0,26.8,15.6,0,78.0,1014.9,0.0
1988,1,2,0.0,26.0,12.9,2,76.0,1016.4,0.0
1989,1,2,0.0,27.8,14.6,1,73.0,1015.0,3.5
1990,1,2,0.0,23.4,11.4,0,75.0,1015.7,3.2
1991,1,2,0.0,23.3,16.6,7,82.0,1011.5,4.7
1992,1,2,1.0,21.2,12.0,0,66.0,1020.1,5.2
1993,1,2,0.0,22.2,13.2,0,89.0,1017.1,2.0
1994,1,2,0.0,26.8,11.9,1,73.0,1015.7,2.7
1995,1,2,0.0,24.3,8.5,0,62.0,1015.4,1.5
1996,1,2,0.0,27.6,16.0,2,76.0,1018.4,2.0
1997,1,2,0.0,26.0,14.0,5,72.0,1015.3,0.0
1998,1,2,0.0,23.4,12.2,1,72.0,1017.3,4.5
1999,1,2,0.0,27.2,14.7,0,75.0,1014.2,2.0
2000,1,2,0.0,26.2,14.0,0,69.0,1014.0,1.0
2001,1,2,0.0,28.0,17.2,4,63.0,1013.2,3.0
2002,1,2,0.0,25.9,13.0,0,63.0,1019.1,1.0
2003,1,2,0.0,25.2,13.0,0,69.0,1017.8,5.0
2004,1,2,0.0,15.1,12.8,6,95.0,1017.4,4.0
2005,1,2,0.0,26.1,12.7,1,76.0,1015.0,2.0
2006,1,2,0.0,27.2,13.2,2,63.0,1014.8,0.0
2007,1,2,0.0,24.0,12.0,0,66.0,1015.4,3.0
2008,1,2,0.0,26.2,15.3,3,72.0,1015.3,2.7
2009,1,2,0.0,25.9,12.7,0,61.0,1015.7,2.0
2010,1,2,0.0,23.1,12.3,0,82.0,1015.1,3.0
2011,1,2,0.0,23.5,16.4,0,69.0,1012.2,2.4
2012,1,2,0.0,22.5,18.6,7,85.0,1014.0,2.0
2013,1,2,0.0,26.7,11.5,0,68.0,1012.7,2.0
2014,1,2,0.0,25.2,13.5,1,71.0,1016.5,2.0
2015,1,2,0.0,29.2,20.0,4,71.0,1015.5,2.0
2016,1,2,0.0,27.0,14.2,0,70.0,1017.4,5.0
2017,1,2,0.0,27.5,15.5,0,72.0,1014.2,2.0
1988,1,3,0.0,27.5,14.5,3,73.0,1014.8,2.0
1989,1,3,0.0,27.4,14.6,1,73.0,1014.8,2.0
1990,1,3,0.0,24.0,11.2,0,77.0,1016.2,2.5
1991,1,3,2.0,19.6,16.0,6,91.0,1012.4,3.5
1992,1,3,0.0,20.6,10.8,0,72.0,1019.6,7.0
1993,1,3,0.0,25.7,12.5,0,81.0,1016.0,2.0
1994,1,3,0.0,26.8,13.6,3,76.0,1015.8,2.0
1995,1,3,0.0,22.5,6.5,0,71.0,1016.3,4.0
1996,1,3,0.0,27.8,12.7,3,73.0,1017.0,1.5
1997,1,3,0.0,25.7,14.2,4,74.0,1015.3,1.5
1998,1,3,0.0,23.5,10.9,0,73.0,1019.0,2.0
1999,1,3,0.0,28.7,12.1,0,73.0,1012.4,1.0
2000,1,3,0.0,22.0,13.0,0,84.0,1013.2,2.7
2001,1,3,0.0,25.6,17.8,1,72.0,1014.3,3.4
2002,1,3,0.0,26.7,12.0,0,73.0,1018.7,2.0
2003,1,3,0.0,27.5,12.4,0,62.0,1016.5,1.5
2004,1,3,0.0,16.2,12.3,5,87.0,1017.8,4.0
2005,1,3,0.0,26.8,15.3,1,75.0,1014.7,0.0
2006,1,3,0.0,26.7,13.0,2,68.0,1013.7,1.5
2007,1,3,0.0,22.9,11.0,0,66.0,1014.6,2.7
2008,1,3,0.0,26.9,14.9,0,69.0,1015.8,2.0
